reporter_country_code,reporter_country,fbs_item_code,fbs_item,Domestic supply quantity,Export Quantity,Import Quantity,Production,Stock Variation,new_domestic,d,E_re,E_dom
2,Africa,2740,"Butter, Ghee",391000,11000,100000,301000,0,390000,-89000,1,0
2,Africa,2743,Cream,80000,7000,19000,68000,0,80000,-12000,1,0
2,Africa,2744,Eggs,3952000,24000,69000,3912000,4000,3953000,-45000,1,0
2,Africa,2745,Honey,158000,6000,16000,152000,5000,157000,-10000,1,0
2,Africa,2761,Freshwater Fish,5180420,169950,232610,5096760,-21000,5180420,-62660,1,0
2,Africa,2762,Demersal Fish,2115830,414330,693930,1836230,0,2115830,-279600,1,0
2,Africa,2763,Pelagic Fish,5264420,2931880,3557950,4376530,-261810,5264410,-626070,1,0
2,Africa,2764,"Marine Fish, Other",829930,79660,389180,520400,0,829920,-309520,1,0
2,Africa,2765,Crustaceans,230420,105790,103260,232860,-100,230430,2530,0.9760846960960393,0.023915303903960683
2,Africa,2766,Cephalopods,69250,195850,42670,222430,0,69250,153180,0.21787082,0.78212918
2,Africa,2767,"Molluscs, Other",53680,14190,16850,51020,0,53680,-2660,1,0
2,Africa,2769,"Aquatic Animals, Others",1190,1630,470,2360,0,1200,1160,0.2883435582822086,0.7116564417177914
2,Africa,2775,Aquatic Plants,132220,17740,4680,145280,0,132220,13060,0.2638105975197294,0.7361894024802706
2,Africa,2781,"Fish, Body Oil",39900,55130,3010,92020,0,39900,52120,0.054598222,0.9454017776165428
2,Africa,2782,"Fish, Liver Oil",340,34830,200,34980,0,350,34630,0.005742176,0.994257824
2,Africa,2807,Rice and products,55803000,1070000,23458000,36119000,2704000,55803000,-22388000,1,0
2,Africa,2848,Milk - Excluding Butter,61779000,1407000,14471000,48743000,28000,61779000,-13064000,1,0
2,Africa,2899,Miscellaneous,868000,763000,1544000,150000,63000,868000,-781000,1,0
4,Afghanistan,2511,Wheat and products,7446000,0,2757000,5185000,496000,7446000,-2757000,NA,NA
4,Afghanistan,2513,Barley and products,128000,2000,6000,128000,4000,128000,-4000,1,0
4,Afghanistan,2514,Maize and products,351000,0,82000,272000,3000,351000,-82000,NA,NA
4,Afghanistan,2516,Oats,2000,4000,6000,0,0,2000,-2000,1,0
4,Afghanistan,2517,Millet and products,5000,0,4000,2000,0,6000,-4000,NA,NA
4,Afghanistan,2518,Sorghum and products,1000,0,1000,0,0,1000,-1000,NA,NA
4,Afghanistan,2520,"Cereals, Other",2000,0,2000,0,0,2000,-2000,NA,NA
4,Afghanistan,2531,Potatoes and products,943000,17000,89000,855000,-16000,943000,-72000,1,0
4,Afghanistan,2532,Cassava and products,1000,0,1000,0,0,1000,-1000,NA,NA
4,Afghanistan,2534,"Roots, Other",0,0,0,0,0,0,0,NA,NA
4,Afghanistan,2535,Yams,0,0,0,0,0,0,0,NA,NA
4,Afghanistan,2536,Sugar cane,40000,0,0,40000,0,40000,0,NA,NA
4,Afghanistan,2537,Sugar beet,5000,0,0,5000,0,5000,0,NA,NA
4,Afghanistan,2542,Sugar (Raw Equivalent),591000,0,645000,1000,54000,592000,-645000,NA,NA
4,Afghanistan,2543,"Sweeteners, Other",21000,1000,21000,0,0,20000,-20000,1,0
4,Afghanistan,2546,Beans,0,38000,38000,0,0,0,0,1,0
4,Afghanistan,2547,Peas,31000,0,31000,0,0,31000,-31000,NA,NA
4,Afghanistan,2549,"Pulses, Other and products",86000,8000,54000,40000,0,86000,-46000,1,0
4,Afghanistan,2551,Nuts and products,64000,21000,24000,61000,-1000,65000,-3000,1,0
4,Afghanistan,2552,Groundnuts,15000,2000,17000,0,0,15000,-15000,1,0
4,Afghanistan,2555,Soyabeans,11000,0,11000,0,0,11000,-11000,NA,NA
4,Afghanistan,2557,Sunflower seed,7000,0,7000,0,0,7000,-7000,NA,NA
4,Afghanistan,2558,Rape and Mustardseed,0,0,0,0,0,0,0,NA,NA
4,Afghanistan,2559,Cottonseed,48000,0,0,48000,0,48000,0,NA,NA
4,Afghanistan,2560,Coconuts - Incl Copra,2000,0,2000,0,0,2000,-2000,NA,NA
4,Afghanistan,2561,Sesame seed,37000,0,0,42000,5000,37000,0,NA,NA
4,Afghanistan,2563,Olives (including preserved),8000,0,0,8000,0,8000,0,NA,NA
4,Afghanistan,2570,"Oilcrops, Other",48000,6000,25000,34000,5000,48000,-19000,1,0
4,Afghanistan,2571,Soyabean Oil,5000,0,5000,0,0,5000,-5000,NA,NA
4,Afghanistan,2572,Groundnut Oil,0,0,0,0,0,0,0,NA,NA
4,Afghanistan,2573,Sunflowerseed Oil,55000,0,98000,3000,45000,56000,-98000,NA,NA
4,Afghanistan,2574,Rape and Mustard Oil,2000,0,2000,0,0,2000,-2000,NA,NA
4,Afghanistan,2575,Cottonseed Oil,17000,0,11000,8000,2000,17000,-11000,NA,NA
4,Afghanistan,2576,Palmkernel Oil,0,0,0,0,0,0,0,NA,NA
4,Afghanistan,2577,Palm Oil,159000,0,159000,0,0,159000,-159000,NA,NA
4,Afghanistan,2578,Coconut Oil,0,0,0,0,0,0,0,NA,NA
4,Afghanistan,2579,Sesameseed Oil,2000,0,0,2000,0,2000,0,NA,NA
4,Afghanistan,2580,Olive Oil,1000,0,0,1000,0,1000,0,NA,NA
4,Afghanistan,2582,Maize Germ Oil,2000,0,2000,0,0,2000,-2000,NA,NA
4,Afghanistan,2586,"Oilcrops Oil, Other",69000,0,53000,16000,0,69000,-53000,NA,NA
4,Afghanistan,2601,Tomatoes and products,17000,136000,153000,0,0,17000,-17000,1,0
4,Afghanistan,2602,Onions,263000,93000,30000,326000,0,263000,63000,0.3225806451612903,0.6774193548387097
4,Afghanistan,2605,"Vegetables, other",3256000,111000,102000,3269000,4000,3256000,9000,0.918918919,0.081081081
4,Afghanistan,2611,"Oranges, Mandarines",145000,1000,143000,3000,0,145000,-142000,1,0
4,Afghanistan,2612,"Lemons, Limes and products",2000,0,2000,0,0,2000,-2000,NA,NA
4,Afghanistan,2613,Grapefruit and products,1000,0,1000,0,0,1000,-1000,NA,NA
4,Afghanistan,2614,"Citrus, Other",57000,2000,56000,4000,0,58000,-54000,1,0
4,Afghanistan,2615,Bananas,97000,0,97000,0,0,97000,-97000,NA,NA
4,Afghanistan,2616,Plantains,0,0,0,0,0,0,0,NA,NA
4,Afghanistan,2617,Apples and products,205000,30000,2000,271000,38000,205000,28000,0.066666667,0.9333333333333333
4,Afghanistan,2618,Pineapples and products,1000,0,1000,0,0,1000,-1000,NA,NA
4,Afghanistan,2619,Dates,34000,0,34000,0,0,34000,-34000,NA,NA
4,Afghanistan,2620,Grapes and products (excl wine),721000,257000,1000,993000,16000,721000,256000,0.003891051,0.9961089494163424
4,Afghanistan,2625,"Fruits, other",313000,125000,41000,405000,8000,313000,84000,0.328,0.6719999999999999
4,Afghanistan,2630,Coffee and products,0,4000,2000,0,-2000,0,2000,0.5,0.5
4,Afghanistan,2633,Cocoa Beans and products,1000,0,1000,0,0,1000,-1000,NA,NA
4,Afghanistan,2635,Tea (including mate),15000,0,15000,0,0,15000,-15000,NA,NA
4,Afghanistan,2640,Pepper,0,0,0,0,0,0,0,NA,NA
4,Afghanistan,2641,Pimento,3000,0,3000,0,0,3000,-3000,NA,NA
4,Afghanistan,2642,Cloves,0,0,0,0,0,0,0,NA,NA
4,Afghanistan,2645,"Spices, Other",10000,16000,6000,19000,0,9000,10000,0.375,0.625
4,Afghanistan,2655,Wine,0,0,0,0,0,0,0,NA,NA
4,Afghanistan,2656,Beer,0,0,0,0,0,0,0,NA,NA
4,Afghanistan,2657,"Beverages, Fermented",0,0,0,0,0,0,0,NA,NA
4,Afghanistan,2658,"Beverages, Alcoholic",0,0,0,0,0,0,0,NA,NA
